arxiv_id,title,abstract,family_rule,task_rule,family_true,task_true
2504.15004,The compliance of the molecular hydride superconductor $BiH_4$ with the Migdal's theorem,"The discovery of near-room-temperature superconductivity in H3S sparked experimental and theoretical studies of highly compressed hydrides with the aim of obtaining room-temperature superconductivity. There are two dominant hydride classes where the search is ongoing: the first class is the covalently bonded hydrides (which is represented by H3S), and the second class is the clathrate-type hydrides (which is represented by LaH10, YH6, CaH6). Recently, the third class of superconducting hydrides, where the hydrogen remains its molecular form, has been discovered. This class is represented by BaH12 and BiH4. Here, we analyzed experimental data for the BaH12 and BiH4. We found that the BaH12 ex",conv,discovery,,
2202.04784,Characterization of photoinduced normal state through charge density wave in superconducting YBa$_2$Cu$_3$O$_{6.67}$,"The normal state of high-Tc cuprates has been considered one of the essential topics in high-temperature superconductivity research. However, compared to the high magnetic fields study of it, understanding a photoinduced normal state remains elusive. Here, we explore a photoinduced normal state of YBa$_2$Cu$_3$O$_{6.67}$ (YBCO) through a charge density wave (CDW) with time-resolved resonant soft x-ray scattering, as well as a high-magnetic field x-ray scattering. In the non-equilibrium state in which people predict a quenched superconducting state based on the previous optical spectroscopies, we experimentally observed a similar analogy to the competition between superconductivity and CDW sh",cuprate,characterization,,
2310.04040,Superconductivity induced by doping holes in the nodal-line semimetal NaAlGe,"The nodal-line semimetals NaAlSi and NaAlGe have significantly different ground states despite having similar electronic structures: NaAlSi exhibits superconductivity below 7 K, while NaAlGe exhibits semiconductive electrical conductivity at low temperatures, indicating the formation of a pseudogap at approximately 100 K. The origin of the pseudogap in NaAlGe is unknown but may be associated with excitonic instability. We investigated hole-doping effects on the ground state in the solid solution Na(Al1-xZnx)Ge and discovered that the pseudogap is suppressed continuously with increasing Zn content, followed by the appearance of a superconducting dome with the highest transition temperature of",cuprate,discovery,,
2406.08780,Mean Field Study of Superconductivity in the Square Lattice $t$-$J$ Model with Three-Site Hopping,"It remains an open question whether the two-dimensional single-band pure Hubbard model and its related pure $t$-$J$ model truly capture the superconducting order in cuprates. Recent numerical studies on this issue have raised a notable disparity in superconducting order between the pure Hubbard model and the pure $t$-$J$ model. Inspired by these, we investigate the role of the three-site hopping term in $d$-wave superconductivity, such a term is usually neglected in the effective Hamiltonian of the Hubbard model, though its amplitude is of the same order as the superexchange coupling $J$ in the $t$-$J$ model. Our slave-boson mean-field solution demonstrates the suppression of $d$-wave superc",cuprate,theory,,
2301.11951,Topological structures in unconventional scenario for 2D cuprates,"We introduce a minimal model to describe the charge degree of freedom in cuprates with the on-site Hilbert space reduced to only the three valence states CuO$_4^{7-,6-,5-}$ (nominally Cu$^{1+,2+,3+}$) and make use of the S=1 pseudospin formalism. The formalism constitutes a powerful method to study complex phenomena in interacting quantum systems characterized by the coexistence and competition of various ordered states. Overall, such a framework provides a simple and systematic methodology to predict and discover new kinds of orders. In particular, the pseudospin formalism provides the most effective way to describe different topological structures, in particular, due to a possibility of a ",cuprate,theory,,
2402.03238,Alternate cleavage structure and electronic inhomogeneity in Ca-doped YBa$_2$Cu$_3$O$_{7-δ}$,"YBa$_2$Cu$_3$O$_{7-δ}$ (YBCO) has favorable macroscopic superconducting properties of $T_\mathrm{c}$ up to 93 K and $H_{c2}$ up to 150 T. However, its nanoscale electronic structure remains mysterious because bulk-like electronic properties are not preserved near the surface of cleaved samples for easy access by local or surface-sensitive probes. It has been hypothesized that Ca-doping at the Y site could induce an alternate cleavage plane that mitigates this issue. We use scanning tunneling microscopy (STM) to study both Ca-free and 10% Ca-doped YBCO, and find that the Ca-doped samples do indeed cleave on an alternate plane, yielding a spatially-disordered partial (Y,Ca) layer. Our density ",cuprate,characterization,,
2506.21392,Visualization and manipulation of four-leaf clover-shaped electronic state in cuprate,"High-Tc superconductivity in cuprates arises from carrier doping of an antiferromagnetic Mott insulator. Associated with these changes are spectral-weight transfers from the high-energy to low-energy, giving rise to a variety of intriguing electronic phenomena. In this study, for the first time, we discovered a 2a0 sized four-leaf clover-shaped (FLC) electronic state at low-energy, accompanied with the emergence of a characteristic ""kink"" around 16meV. With increasing doping, the number of FLC pattern decreases and ultimately vanishes in the overdoped region. Remarkably, we achieved real-time electric-field manipulation of this FLC state, through innovative in-situ scanning tunneling microsc",cuprate,characterization,,
2601.17099,Detecting the full photoemission cone from laser-based ARPES experiments by leveraging deflector technology,"Angle-resolved photoemission spectroscopy (ARPES) provides a direct access to the electronic band structure of solid and molecular systems. The momentum range accessible by this technique depends directly on the photon energy used, and low-photon-energy sources are insufficient to photoemit electrons over the full Brillouin zone of most quantum materials. In addition, while electrons are emitted over a 2$π$ solid angle, conventional hemispherical analyzers only collect a small subset of those electrons. A previous work [RSI 92, 123907 (2021)] demonstrated that electrons emitted over a larger field-of-view can be acquired in one fixed configuration by accelerating them towards the analyzer wi",cuprate,characterization,,
2109.04279,Charge density waves and Fermi-surface reconstruction in the clean overdoped cuprate superconductor Tl2Ba2CuO6+x,"Hall effect and quantum oscillation measurements on high temperature cuprate superconductors show that underdoped compositions have a small Fermi surface pocket whereas when heavily overdoped, the pocket increases dramatically in size. The origin of this change in electronic structure has been unclear, but may be related to the high temperature superconductivity. Here we show that the clean overdoped single-layer cuprate Tl2Ba2CuO6+x (Tl2201) displays CDW order with a remarkably long correlation length $ξ\approx 200$ Å which disappears above a hole concentration p_CDW ~ 0.265. We show that the evolution of the electronic properties of Tl2201 as the doping is lowered may be explained by a Fer",cuprate,characterization,,
2309.05711,Thermal Hall Effect and Neutral Spinons in a Doped Mott Insulator,"In the pseudogap phase of the cuprate, a thermal Hall response of neutral objects has been recently detected experimentally, which continuously persists into the antiferromagnetic insulating phase. In this work, we study the transport properties of neutral spinons as the elementary excitation of a doped Mott insulator, which is governed by a mutual Chern-Simons topological gauge structure. We show that such a chiral spinon as a composite of an $S=1/2$ spin sitting at the core of a supercurrent vortex, can contribute to the thermal Hall effect, thermopower, and Hall effect due to its intrinsic transverse (cyclotron) motion under internal fictitious fluxes. In particular, the magnitudes of the",cuprate,characterization,,
2211.03083,Low-temperature T-linear resistivity in the strange metal phase of overdoped cuprate superconductors due to umklapp scattering from a spin excitation,"The strange-metal phase of overdoped cuprate superconductors exhibits a linear in temperature resistivity in the low temperature, however, the origin of this remarkable anomaly is still not well understood. Here the linear temperature dependence of the resistivity in the strange-metal phase of overdoped cuprate superconductors is investigated. The momentum dependence of the transport scattering rate arising from the umklapp scattering between electrons by the exchange of the spin excitations is derived and employed to calculate the resistivity by making use of the Boltzmann equation. It is shown that the resistivity is mainly dominated by the antinodal and nodal umklapp scattering. In partic",cuprate,characterization,,
2310.00128,Ultrafast Raman thermometry in driven YBa$_2$Cu$_3$O$_{6.48}$,"Signatures of photo-induced superconductivity have been reported in cuprate materials subjected to a coherent phonon drive. A 'cold' superfluid was extracted from the transient Terahertz conductivity and was seen to coexist with 'hot' uncondensed quasi-particles, a hallmark of a driven-dissipative system of which the interplay between coherent and incoherent responses are not well understood. Here, time resolved spontaneous Raman scattering was used to probe the lattice temperature in the photo-induced superconducting state of YBa2Cu3O6.48. An increase in lattice temperature of approximately 80 K was observed by measuring the time dependent Raman scattering intensity of an undriven 'spectato",cuprate,characterization,,
2303.15914,Characterization of harmonic modes and parasitic resonances in multi-mode superconducting coplanar resonators,"Planar superconducting microwave transmission line resonators can be operated at multiple harmonic resonance frequencies. This allows covering wide spectral regimes with high sensitivity, as it is desired e.g. for cryogenic microwave spectroscopy. A common complication of such experiments is the presence of undesired 'spurious' additional resonances, which are due to standing waves within the resonator substrate or housing box. Identifying the nature of individual resonances ('designed' vs. 'spurious') can become challenging for higher frequencies or if elements with unknown material properties are included, as is common for microwave spectroscopy. Here we discuss various experimental strate",device,application,,
2210.15293,Improving Josephson junction reproducibility for superconducting quantum circuits: junction area fluctuation,"Josephson superconducting qubits and parametric amplifiers are prominent examples of superconducting quantum circuits that have shown rapid progress in recent years. With the growing complexity of such devices, the requirements for reproducibility of their electrical properties across a chip have become stricter. Thus, the critical current $I_c$ variation of the Josephson junction, as the most important electrical parameter, needs to be minimized. Critical current, in turn, is related to normal-state resistance the Ambegaokar-Baratoff formula, which can be measured at room temperature. Here, we focus on the dominant source of Josephson junction critical current non-uniformity junction area v",device,application,,
2307.01853,Superconducting Non-Reciprocity Based on Time-Modulated Coupled-Resonator Systems,"We present a unified approach for designing a diverse range of superconducting non-reciprocal components, including circulators, isolators, and uni-directional amplifiers, based on temporally-modulated coupled resonator networks. Our method leverages standard SQUID-based resonators as building blocks, arranged in various configurations such as series-coupled, wye-connected, and lattice-coupled resonators, to realize a wide range of on-chip non-reciprocal devices. Our theoretical studies demonstrated the effectiveness of the proposed approach, achieving circulators and isolators with near-zero insertion losses and isolation greater than 20 dB, and directional amplifiers with forward gain exce",device,application,,
2607.11514,States dressing analysis in a transmon-transmon-bus system,"The multi-qubit gates fidelity of superconducting quantum processors can be limited due to the dressing of computational states by noncomputational ones. Here, we experimentally and analytically investigate a transmon-transmon-bus system where the computational states dressing is tunable over a broad range. We estimate the dressing using three methods: a full three-element model, an effective mode approach, and an unperturbed mode approach. The obtained results highlight the importance of the accurate estimation and control of the computational states dressing in order to optimize gates on superconducting platform.",device,application,,
2302.14316,Near-field localization of the boson peak on tantalum films for superconducting quantum devices,"Superconducting circuits are among the most advanced quantum computing technologies, however their performance is currently limited by losses found in surface oxides and disordered materials. Here, we identify and spatially localize a near-field signature of loss centers on tantalum films using terahertz scattering-type scanning near-field optical microscopy (s-SNOM). Making use of terahertz nanospectroscopy, we observe a localized excess vibrational mode around 0.5 THz and identify this resonance as the boson peak, a signature of amorphous materials. Grazing-incidence wide-angle x-ray scattering (GIWAXS) shows that oxides on freshly solvent-cleaned samples are amorphous, whereas crystalline",device,application,,
2204.05619,Measurements of Phase Dynamics in Planar Josephson Junctions and SQUIDs,"We experimentally investigate the stochastic phase dynamics of planar Josephson junctions (JJs) and superconducting quantum interference devices (SQUIDs) defined in epitaxial InAs/Al heterostructures, and characterized by a large ratio of Josephson energy to charging energy. We observe a crossover from a regime of macroscopic quantum tunneling to one of phase diffusion as a function of temperature, where the transition temperature $T^{*}$ is gate-tunable. The switching probability distributions are shown to be consistent with a small shunt capacitance and moderate damping, resulting in a switching current which is a small fraction of the critical current. Phase locking between two JJs leads ",device,application,,
2111.11684,Microscopic Theory of Magnetic Disorder-Induced Decoherence in Superconducting Nb Films,"The performance of superconducting qubits is orders of magnitude below what is expected from theoretical estimates based on the loss tangents of the constituent bulk materials. This has been attributed to the presence of uncontrolled surface oxides formed during fabrication which can introduce defects and impurities that create decoherence channels. Here, we develop an ab initio Shiba theory to investigate the microscopic origin of magnetic-induced decoherence in niobium thin film superconductors and the formation of native oxides. Our ab initio calculations encompass the roles of structural disorder, stoichiometry, and strain on the formation of decoherence-inducing local spin moments. With",device,application,,
2405.20911,"Josephson junctions, superconducting circuits, and qubit for quantum technologies","In the realm of physics, a pivotal moment occurred six decades ago when Brian Josephson made a groundbreaking prediction, setting in motion a series of events that would eventually earn him the prestigious Nobel Prize eleven years later. This prediction centered around what is now known as the Josephson effect, a phenomenon with far-reaching implications. At the heart of this effect lies the Josephson junction (JJ), a device that has become a linchpin in various scientific applications. This chapter delves into the foundational principles of the Josephson effect and the remarkable properties of JJs. From their role in metrology to their application in radiation detectors, these junctions hav",device,application,,
2608.05821,Quantum error correction with global control,"Reaching fault tolerance means scaling qubit counts by orders of magnitude, a jump that conventional superconducting architectures cannot sustain without solving the so-called `wiring problem'. Global control sidesteps this bottleneck, but implementing quantum error correction (QEC) on previously proposed global architectures incurs extremely steep overhead costs, due to the need for separate correction procedures for the computational and auxiliary qubits that comprise the global device. We resolve this by introducing the first globally-controlled architecture with zero qubit overhead. Every physical qubit is a computational qubit, and thus, every qubit is protected under a single error cor",device,application,,
2603.23400,A Zero-Bias Superconducting Voltage Amplifier Based on the Bipolar Thermoelectric Effect,"We introduce a zero-bias superconducting voltage amplifier that harvests energy from a thermal gradient by exploiting negative differential resistance (NDR) in an asymmetric tunnel junction. The device is based on an asymmetric superconductor-insulator-superconductor (SIS) junction with an energy-gap ratio of $Δ_1/Δ_2 = 0.5$, connected in series with a load resistor. Owing to the superconducting bipolar thermoelectric effect, the current-voltage characteristic of the junction exhibits a region of NDR, in which the net current flows opposite to the applied voltage. This mechanism enables voltage amplification in the absence of any external electrical bias, relying solely on the temperature di",device,application,,
2508.18626,Enhanced Algorithmic Perfect State Transfer on IBM Quantum Computers,"Perfect state transfer (PST) through a spin chain can be theoretically obtained via predesigned PST couplings. However, the corresponding experiment on IBM quantum computers demonstrates low transmission success probability (SP) due to noises. Using few qubits of their 127-qubit Eagle processors, we perform the simulation of algorithmic PST through an XY spin chain with PST couplings on ibm_sherbrooke and ibm_brisbane processors, alongside Qiskit simulations. The peak SP cannot reach 1 ($\sim$0.725 peak SP for N=4). We then propose a comprehensive noise model including Pauli errors, thermal relaxation ($T_1$) and dephasing ($T_2$), and ZZ crosstalk. Based on the experimental parameters provi",device,theory,,
2407.18610,Direct observation of quantum vortex fractionalization in multiband superconductors,"Magnetic field is expelled from a superconductor, unless it forms quantum vortices, consisting of a core singularity with current circulating around it. The London quantization condition implies that there is one core singularity per quantum of magnetic flux in single-component superconductors, while in multiband materials fractional vortices are possible. Here, we report the first observation of quantum vortex core fractionalization on the potassium terminated surface of multiband superconductor KFe2As2 by scanning tunneling microscopy. We observe splitting of an integer-flux vortex into several fractional vortices, leading to disparity between numbers of flux quanta and vortex cores. Our f",febased,characterization,,
2405.05893,Role of Vanadium-Oxide Layer in Electronic State of Sr$_2$VFeAsO$_{3-δ}$ with Oxygen Deficiency,"Iron-based superconductor Sr$_2$VFeAsO$_3$ is composed of alternate stacking of a superconducting FeAs layer and an insulating vanadium-oxide layer with a perovskite-type structure. Electronic orders stemming from the spin and orbital degrees of freedom of V $3d$ electrons can arise in the vanadium-oxide layer, but such orders have not been confirmed so far. Here, we systematically investigate the electronic state of Sr$_2$VFeAsO$_{3-δ}$ with oxygen deficiency and demonstrate the phase diagram of Sr$_2$VFeAsO$_{3-δ}$ as a function of the $c$-axis lattice parameter, which has turned out to be a suitable measure of the amount of oxygen deficiency. We found a magnetic and structural anomaly at ",febased,theory,,
2206.05757,Ubiquitous stripe phase and enhanced electron pairing in interfacial high-Tc superconductor FeSe/BaTiO$_3$,"Monolayer FeSe grown on SrTiO$_3$ provides a new playground for high-Tc superconductivity. A recent study shows the importance of stripy instability for superconductivity enhancement in FeSe/SrTiO3. However, it is still under debate whether such a stripe phase is ubiquitously bound to the interfacial superconductivity. Here, we report on molecular beam epitaxy growth and low-temperature scanning tunneling microscopy study of FeSe films on BaTiO$_3$(001). We find that the stripe phase is more prominent in FeSe/BaTiO$_3$. Long-range stripes exist in bilayer and triple-layer FeSe films at 4 K and even persist up to 77 K in the case of bilayer FeSe, with enlarged superconducting gaps upon alkali",febased,characterization,,
2312.00754,Measurements of nematic susceptibility with phase sensitive nuclear magnetic resonance in pulsed strain fields,"We present nuclear magnetic resonance data in BaFe$_2$As$_2$ in the presence of pulsed strain fields that are interleaved in time with the radiofrequency excitation pulses. In this approach, the precessing nuclear magnetization acquires a phase shift that is proportional to the strain and pulse time. The sensitivity in this approach is limited by the homogeneous decoherence time, $T_2$, rather than the inhomogeneous linewidth. We measure the nematic susceptibility as a function of temperature, and demonstrate three orders of magnitude improvement in sensitivity. This approach will enable studies of the strain response in a broad range of materials that previously were inaccessible due to inh",febased,characterization,,
2505.24847,Nematicity in iron pnictides: phase competition and emergent symmetry,"The phase diagram of iron-based superconductors contains a host of electronic orders, which are intimately connected with their superconductivity. Here we analyze the fluctuations of one type of nematic order in another. Our analysis leads to an emergent U(1) symmetry at a first-order transition between a nematic phase and a $C_4$-symmetric charge-ordered phase. We characterize the continuous symmetry in terms of a certain hidden Lie algebra that links the different orders. This emergent symmetry leads to a Goldstone mode at the transition and causes softening of excitations in the nematic and charge sectors near the transition. The underlying physics bears a resemblance to the anisotropic X",febased,characterization,,
2204.03496,Superconductivity in multiorbital systems with repulsive interactions: Hund's pairing vs. spin-fluctuation pairing,"Hund's pairing refers to Cooper pairing generated by onsite interactions that become attractive due to large Hund's exchange $J$. This is possible in multiorbital systems even when all local bare interactions are repulsive, since attraction in specific channels are given by certain linear combinations of interaction parameters. On the other hand, pairing processes such as the exchange of spin fluctuations, are also present. We compare these two mechanisms on an equal footing using electronic bands appropriate for different classes of multiorbital systems over a wide range of interaction parameters. We find that for systems without clear nesting features, the superconducting state generated b",febased,discovery,,
2602.23680,Intrinsic translational symmetry-breaking charge stripes in underdoped iron pnictides,"Despite being well established in cuprates, an intrinsic translational symmetry-breaking charge order has not been clearly identified in iron-based superconductors. Using spectroscopic-imaging scanning tunneling microscopy on epitaxial Ca(Fe1-xCox)2As2 (x = 0 ~ 0.055) thin films, we observe smectic, near-commensurate charge-stripe order in the underdoped regime that intervenes between the nematic parent phase and optimally doped superconductivity. Distinct from the bidirectional checkerboard-like order in cuprates, these charge stripes are unidirectional along the antiferromagnetic Fe-Fe bond direction and are accompanied by a van Hove singularity near the Fermi level, inherited from the Fer",febased,characterization,,
2412.16103,Local structure and phonon states mediated by intercalation-driven doping in superconducting $Li_{1.0}(C_5H_5N)_yFe_{2-z}Se_2$,"Intercalation of two-dimensional (2D) iron chalcogenides with molecular species requires disentangling electronic and structural contributions to understand the puzzling limit to superconducting transition temperature ($T_c$) at the frontier of long interlayer separations. Here, synchrotron X-ray absorption spectroscopy (XAS) at the Se K-edge sheds light on the impact of carrier-doping on the local structure of the high-$T_c$ (~39 K) $Li_{1.0}(C_5H_5N)_yFe_{2-z}Se_2$ phase. This material is derived by annealing the structurally related as-made derivative ($T_c$~ 44 K), with layers being primed apart by [alkali-molecule] guests. Metrics, such as, a reduced filling of Se $4p$ orbitals and shor",febased,synthesis,,
2510.19736,Point-contact Andreev reflection spectroscopy of layered superconductors with device-integrated diamond anvil cells,"Superconductors that can be mechanically exfoliated are an interesting platform for exploring superconducting properties tuned by layer thickness. These layered superconductors are also expected to exhibit sensitivity to applied pressure. While pressure has been demonstrated to be an effective way of tuning bulk superconductors, analogous studies on superconducting thin flakes have been limited due to technical challenges. In particular, spectroscopic measurements under pressure remain insufficiently explored. In this work, we functionalized the diamond anvil cell technique for point-contact Andreev reflection spectroscopy (PCAR) measurement on thin-flake materials under pressure, offering t",febased,characterization,,
2604.25500,Critical Role of Hydrogen in Unconventional Superconductors: The Case of Hydrogenated FeSe Layers,"Hydrogenation is known to tune superconductivity in a wide range of materials. While its microscopic role has been clarified in phonon-mediated superconductors such as hydrogenated MgB2, LaH10, and H3S, much less is known for hydrogenated cuprates and iron-based superconductors, where even the underlying structural motifs remain elusive. Using hydrogenated FeSe as a prototypical example, we reveal how hydrogen affects superconductivity in the presence of strong electronic correlations: correlation-induced orbital renormalization shifts hydrogen-derived spectral weight from the high-energy region toward the Fermi surface (FS), remarkably enhancing the electron-phonon coupling (EPC). We predic",febased,synthesis,,
2508.09063,Enhanced superconductivity in ultrathin FeSe films on SrTiO3 via resonant anti-shielding: Superconductivity meets superfluidity,"A vanishingly small dielectric function reflects a singular polarization response in a medium, leading to collective plasmonic or polaronic excitations that can enhance Cooper pairing in superconductors via a resonant anti-shielding (RAS) effect. Here, we show that RAS can explain the dramatic enhancement of superconductivity-relative to bulk FeSe, observed in single-unit-cell FeSe films on SrTiO$_3$ (STO) and related substrates. Moreover, we present evidence that RAS may play a central role in driving the Cooper pair condensate into a bipolaronic superfluid state. This interpretation aligns with a recent quantum Monte Carlo simulation by Zhang, et al. [Phys. Rev. X 13, 011010 (2023)], which",febased,characterization,,
2306.06996,On chip synchronization of Bloch oscillations in a strongly coupled pair of small Josephson junctions,"Bloch oscillations are a fundamental phenomenon linking the adiabatic transport of Cooper pairs to time. Here, we investigate synchronization of the Bloch oscillations in a strongly coupled system of sub-100 nm Al/AlOx/Al Josephson junctions in high-ohmic environment composed of highly inductive meanders of granulated aluminum and high-ohmic titanium microstrips. We observe a pronounced current mirror eff ect in the coupled junctions and demonstrate current plateaus, akin to the fi rst dual Shapiro step in microwave experiments. These fi ndings suggest that our circuit design holds promise for realizing protected Bloch oscillations and precise Shapiro steps of interest for current metrology.",general,characterization,,
2202.12178,Nonunitary Superconductivity in Complex Quantum Materials,"We present a comprehensive discussion on nonunitary superconductivity in complex quantum materials. Starting with a brief review of the notion of nonunitary superconductivity, we discuss its spectral signatures in simple models with only the spin as an internal degree of freedom. In complex materials with multiple internal degrees of freedom, there are many more possibilities for the development of nonunitary order parameters. We provide examples focusing on d-electron systems with two orbitals, applicable to a variety of materials. We discuss the consequences for the superconducting spectra, highlighting that gap openings of band crossings at finite energies can be attributed to a nonunitar",general,theory,,
2607.28776,Representations from Pretrained Machine-Learning Interatomic Potentials as Coarse Coordinates for Material Generation and Evaluation,"Generative machine learning is increasingly used for inorganic crystal structure generation. Most models and the corresponding evaluation approaches rely on simple forms of crystal structure representation. In this paper, we showcase the power of atom-averaged features from pretrained Machine-Learning Interatomic Potentials (MLIPs), such as MACE, for such tasks. We first introduce a distance measure that assesses the output of material generative models by capturing both quality and novelty in a single distribution-based evaluation framework. In particular, we introduce the Coarse-Fine Transport Distance (CFTD) using two different featurizers, where the quality component is based on coarse M",general,abinitio,,
2602.18469,The Landscape of AI in Science Education: What is Changing and How to Respond,"This introductory chapter explores the transformative role of artificial intelligence (AI) in reshaping the landscape of science education. Positioned at the intersection of tradition and innovation, AI is altering educational goals, procedures, learning materials, assessment practices, and desired outcomes. We highlight how AI-supported tools, such as intelligent tutoring systems, adaptive learning platforms, automated feedback, and generative content creation--enhance personalization, efficiency, and equity while fostering competencies essential for an AI-driven society, including critical thinking, creativity, and interdisciplinary collaboration. At the same time, this chapter examines th",general,discovery,,
